iso3,pais,esperanza_vida,pib_per_capita,gasto_salud_per_capita,poblacion_urbana_pct,matricula_secundaria_pct,usuarios_internet_pct
MEX,Mexico,74.53,10369.5553593527,549.72601318,78.355984332992,105.515609741211,69.6321092705209
GHA,Ghana,64.455,2186.65822682613,71.14958191,55.7246279109161,71.1877006008423,22.0732
ALB,Albania,79.467,6069.43903131027,366.34014893,56.7639071287255,99.01515356567,68.5503911218006
BGR,Bulgaria,75.1121951219512,10354.2500414088,733.06878662,73.7162322998047,102.656936645508,67.9469809417603
FJI,Fiji,67.009,5842.07344577597,254.83047485,56.70989552257,91.8760588497548,63.21789932
HRV,Croatia,78.2243902439024,15563.7354996625,1063.54443359,56.303247958306,105.13597869873,79.0797836757554
CHE,Switzerland,83.9048780487805,85872.9702303454,9609.80273438,80.7792907322229,104.071113586426,93.1460869535177
LAO,Lao PDR,67.911,2589.32081035237,67.57865143,35.9072880879451,64.986385458831,47.03229904
SUR,Suriname,71.773,6629.66775248603,588.83825684,66.0370492311305,74.4114544472174,62.03350067
NLD,Netherlands,82.1121951219512,53554.9007491475,5340.61279297,93.8898028856479,114.804168701172,93.2885906040269
BIH,Bosnia and Herzegovina,77.394,6122.37541352353,546.4508667,49.4650440037758,85.5401306152344,69.9463476317266
MDV,Maldives,79.707,11740.2724029785,880.79962158,40.0492764783282,68.0857601310983,77.46970367
BTN,Bhutan,72.005,3576.87987100503,115.71811676,39.0746823405146,90.6185575459377,74.17939758
GAB,Gabon,67.337,7441.1786472281,205.99945068,89.9031850170394,70.2639966402203,59.51760101
KNA,St. Kitts and Nevis,71.54,23595.4923231291,1224.18933105,31.4121818392285,118.920614998431,69.43499756
PER,Peru,76.275,7037.00803692604,367.98739624,83.1033003087105,99.5297164916992,59.9505036049006
CUB,Cuba,77.413,9232.26115935183,1023.39715576,77.0728225708008,100.467809909244,67.9708086565152
KAZ,Kazakhstan,73.658,9457.12614657136,263.61331177,59.0832474269546,96.5371355057456,81.8776204746284
URY,Uruguay,77.503,18315.7350377437,1692.50195313,95.3479309082031,119.848533190039,83.3515337667548
BEL,Belgium,81.9951219512195,46716.6227467964,5087.45654297,87.0961631189222,156.635375976562,90.275428012141
DEU,Germany,81.2926829268293,47656.199739747,5447.31787109,81.3053991689039,101.152557373047,88.1345169091916
KOR,"Korea, Rep.",83.2268292682927,33826.9443301597,2602.4831543,81.2901063535619,98.3813018798828,96.157579184239
CHL,Chile,80.324,14496.9345640362,1348.99401855,88.1273685623538,104.405769348145,85.01760101
TCD,Chad,52.993,893.336441643325,30.23690224,24.2731047386633,20.192877474143,7.618199825
CPV,Cabo Verde,75.449,4380.78117331128,211.24963379,71.6254285086577,95.2902285572104,61.9433977593088
PNG,Papua New Guinea,65.331,2575.77274140393,59.89566803,13.9278267446947,46.2668456486691,13.62419987
VNM,Viet Nam,74.211,3440.90025375434,171.15296936,34.6239134999511,94.654621676317,68.6615802057338
IDN,Indonesia,70.349,4106.94856160358,118.22380829,55.7382049560547,94.9467044891028,47.6906489788375
AUS,Australia,82.9,55194.7585097428,5543.37841797,87.3019647888406,144.056564331055,93.60990143
LBN,Lebanon,78.208,8905.88005497437,798.13421631,89.4986743521503,65.2767643910733,81.48120117
LVA,Latvia,75.3878048780488,17294.9751600969,1183.1151123,68.066323694246,107.602462768555,86.13545644343
ESP,Spain,83.8317073170732,29786.5245689007,2756.62109375,79.6349761108307,119.379127502441,90.718665325267
GTM,Guatemala,71.639,4511.99839552697,278.59024048,54.1882267267974,52.5563883982916,44.401049838502
DNK,Denmark,81.4512195121951,59404.2663247723,6049.93408203,88.2096490810669,129.311126708984,98.0464347521549
BLR,Belarus,74.2268292682927,6837.77339645635,400.11621094,77.4550771852757,100.438744155791,82.7891520910901
USA,United States,78.7878048780488,65227.9565911038,10550.22070313,80.1304793353594,100.063430786133,89.4302848575712
DMA,Dominica,71.305,9491.14995962374,465.63766479,71.4382284948964,105.625543006082,73.38200378
MUS,Mauritius,74.2358536585366,11568.2533399824,639.18286133,39.2509492806955,93.1354968676317,61.7299551453346
AZE,Azerbaijan,73.29,4805.75371765917,199.25746155,58.1308191977779,107.863960509557,81.0999990651547
FRA,France,82.8268292682927,40408.2848574751,4519.98583984,78.6890784549356,104.07689666748,83.3397440866883
MDG,Madagascar,63.504,499.818837622534,15.50084877,30.3046972370204,32.8161749019587,9.379400253
RUS,Russian Federation,73.0839024390244,11447.701171875,650.47058105,74.6222859951926,100.471744682473,82.6421618670668
SLV,El Salvador,71.725,4320.11671534627,380.53384399,72.4148941040039,64.8486537180759,50.4911940673888
BDI,Burundi,62.18,234.31061590725,22.2435379,18.786178154187,41.8352417514484,6.072199821
BHR,Bahrain,80.471,27259.7438599327,1030.26379395,100.0,102.128281941881,99.7015043807778
OMN,Oman,79.946,19180.1864152801,730.08325195,79.5780017545962,102.141469011215,90.25939941
ARG,Argentina,76.847,9955.97478680428,1007.45629883,91.8567844513802,110.460151672363,79.9469520347551
BLZ,Belize,72.577,6171.61449761423,298.14306641,42.9077622153323,87.4526596660355,58.76520157
EGY,"Egypt, Arab Rep.",71.213,2962.98892023003,142.69670105,42.4812027332648,77.9093978841525,57.2828663990195
LUX,Luxembourg,82.6390243902439,112696.649059674,6221.73876953,93.2589839734767,106.946510314941,97.120635693272
PSE,West Bank and Gaza,75.811,3656.85827137011,317.45007324,85.8136174183656,90.3135207321564,70.6225837001758
AUT,Austria,81.8951219512195,49885.9947355204,5313.19287109,68.3176044750522,101.543632507324,87.7522047870069
MNG,Mongolia,71.0531707317073,4347.54610314873,197.57131958,67.8277299551557,88.7463471502002,51.079994082603
SRB,Serbia,75.9365853658537,7755.632986437,641.04754639,61.0492248535156,94.4721908569336,77.4167736219802
SVK,Slovak Republic,77.6658536585366,19406.0589683582,1342.07580566,53.3666558664583,91.3246917724609,82.8536605021784
IND,India,70.746,2041.42863698585,60.6913681,33.8139578818147,75.8716506958008,29.52350044
HND,Honduras,72.124,2502.32744328073,183.75006104,56.3791561389766,64.3524169921875,39.3883521850111
TLS,Timor-Leste,66.496,1562.36458881813,78.01346588,29.1148755245217,85.1248242560832,28.00460052
GEO,Georgia,74.165,4741.2832715876,339.86679077,58.6304091780343,111.900853903077,68.8467135616978
SGP,Singapore,83.5951219512195,66068.7003106378,2924.24707031,100.0,104.621987875083,88.9492526850762
JPN,Japan,84.3563414634146,41424.8655601543,4431.29980469,91.7164207898107,100.660270690918,92.7303978145525
VCT,St. Vincent and the Grenadines,70.994,8740.59425232061,372.05615234,47.1962073993512,127.1875,59.57630157
MHL,Marshall Islands,66.047,5292.33985502306,793.66851807,76.9422712042154,92.6458959354737,49.75749969
TZA,Tanzania,66.007,1063.32250976563,39.97783661,33.3475258518752,30.1824263288684,16.59090042
NPL,Nepal,69.299,1203.14294706401,53.61107254,65.9873929484157,80.2800521850586,33.33660126
FIN,Finland,81.9829268292683,48358.1807773701,4459.9296875,72.7431214358314,144.613204956055,89.6073851129779
ITA,Italy,83.4975609756098,33812.788724868,2908.83154297,69.5050010681153,101.74178314209,67.8507102874836
NOR,Norway,82.9585365853659,79329.3075190012,8007.35546875,82.4935894878281,119.421340942383,98.0000043853142
GRC,Greece,81.6390243902439,19335.3602002969,1569.02844238,78.1888100466875,106.527839660645,75.6712066931757
NAM,Namibia,63.546,4731.9210318831,419.14828491,48.0019807724839,79.0125016773938,49.77590179
SMR,San Marino,85.257,46626.9998571568,3801.21044922,97.0999984741211,61.0058309037901,67.85070038
ISR,Israel,82.8048780487805,44091.8678022544,3335.24511719,91.6154002002652,97.8852386474609,86.7878776180583
MDA,Moldova,70.181,4405.33418162155,283.98425293,40.772289276123,95.6507638474012,73.32610321
CZE,Czechia,79.2292682926829,24062.7190013343,1805.44030762,72.7876426709563,100.21556854248,80.8669444139622
UKR,Ukraine,73.92,3619.86157226563,242.81388855,69.3527648708735,84.4568283620119,70.1248442995263
